FullName,BirthProv,Party,Rank,NickName,IsTeacher,Is3Best
林彪,湖北,共产党,元帅,,0,0
徐向前,山西,共产党,元帅,,0,0
关麟征,陕西,国民党,陆军二级上将,,0,0
戴安澜,安徽,国民党,陆军中将,,0,0
陈赓,湖南,共产党,大将,,0,1
宋希濂,湖南,国民党,陆军中将,,0,0
杜聿明,陕西,国民党,陆军中将,,0,0
王耀武,山东,国民党,陆军中将,,0,0
胡琏,陕西,国民党,陆军一级上将,,0,0
黄维,江西,国民党,陆军中将,,0,0
桂永清,江西,国民党,海军一级上将,,0,0
方柱亭,安徽,国民党,陆军二级上将,方先觉,0,0
李耀宗,江苏,国民党,陆军将领,李天霞,0,0
石世伟,广西,国民党,陆军二级上将,石觉,0,0
熊绶春,江西,国民党,陆军上将,,0,0
刘安祺,山东,国民党,陆军一级上将,,0,0
谢晋元,广东,国民党,少将,,0,0
孙元良,四川,国民党,中将,,0,0
陈明仁,湖南,国民党,中将,,0,0
陈明仁,湖南,共产党,上将,,0,0
郑洞国,湖南,国民党,中将,,0,0
邱青钱,浙江,国民党,陆军二级上将,邱清泉,0,0
聂荣臻,四川,共产党,元帅,,1,0
唐澍,河北,共产党,牺牲,,0,0
唐生明,湖南,国民党,中将,,0,0
钱大钧,江苏,国民党,陆军二级上将,,1,0
刘戡,湖南,国民党,陆军二级上将,,1,0
刘仇西,湖南,共产党,牺牲,刘畴西,0,0
廖耀湘,湖南,国民党,中将,,0,0
廖运泽,安徽,国民党,中将,,0,0
胡宗南,浙江,国民党,上将,,0,0
余程万,广东,国民党,中将,,0,0
傅维钰,安徽,共产党,牺牲,,0,0
王尔琢,湖南,共产党,牺牲,,0,0
贺衷寒,湖南,国民党,中将,,0,1
徐会之,湖北,国民党,中将,,0,0
徐会之,湖北,共产党,中将,,0,0
蒋先云,湖南,共产党,牺牲,,0,1
龙慕韩,安徽,国民党,中将,,0,0
邓文仪,湖南,国民党,中央常委,,0,0
曾扩情,四川,国民党,中将,,0,0
李绳武,广西,国民党,中将,,0,0
刘希程,河南,国民党,中将,,0,0
罗奇,广西,国民党,陆军二级上将,,0,0
周天健,浙江,国民党,中将,,0,0
蒋孝先,浙江,国民党,中将,,0,0
冯圣法,浙江,国民党,中将,,0,0
董煜,广东,国民党,少将,,0,0
俞济时,浙江,国民党,中将,,0,0
杜心树,湖南,国民党,中将,杜心如,0,0
贺声洋,湖南,共产党,将领,,0,0
李延年,山东,国民党,中将,,0,0
黄珍吾,广东,国民党,中将,,0,0
朱炳熙,浙江,国民党,少将,,0,0
左权,湖南,共产党,将领,,0,0
周士第,广东,共产党,上将,,0,0
李良荣,福建,国民党,中将,,0,0
酆悌,湖南,国民党,少将,,0,0
凌承绪,江西,国民党,少将,,0,0
熊敦,江西,共产党,牺牲,,0,0
